mac,termtype,servicecode,svcname,addr,stime,rssi,vtype,vname,ssid,apname,apmac,channel,sec,xpos,ypos,nlong,lati,flags,assid,sid,day,svcode
48-01-C5-0B-56-0D," ",35020321030004,,,1562139890,-67,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800406648,20190703,0
B4-BF-F6-9A-07-5D," ",35020321030004,,,1562139914,-96,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800407649,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139923,-57,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213909800408650,20190703,0
44-04-44-D5-1A-CA," ",35020321030004,,,1562139968,-74,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700701662,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139939,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700703063,20190703,0
DA-A1-19-99-38-D7," ",35020321030004,,,1562139971,-94,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700704064,20190703,0
00-08-22-4E-B6-FB," ",35021221360001,,,1562139988,-85,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700705065,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139941,-59,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700706066,20190703,0
08-4A-CF-DE-A0-E3," ",35020321030004,,,1562139984,-87,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700707167,20190703,0
9C-A5-C0-C1-B1-B9," ",35020321030004,,,1562139972,-95,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700708168,20190703,0
10-9E-3A-6D-28-F8," ",35021221360001,,,1562139955,-79,null," "," ",671153497001F7A7064E0,00-1F-7A-70-64-E0,null," "," "," ",118.13526,24.71718,null," ",156213915700709169,20190703,0
88-D5-0C-8D-AA-BD," ",35020321030004,,,1562139924,-73,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700710170,20190703,0
48-01-C5-0B-56-0D," ",35020321030004,,,1562139950,-83,null," "," ",671153497001F7A74EA40,00-1F-7A-74-EA-40,null," "," "," ",118.13952,24.49240,null," ",156213915700711071,20190703,0
